CNPJ;Velocidade;Município;UF;Faixa de Velocidade;Tecnologia;Empresa;Porte da Prestadora;Tipo de Pessoa;Tipo de Produto;Código IBGE Município;Grupo Econômico;Meio de Acesso;2023-01;2023-02;2023-03;2023-04;2023-05;2023-06
00497373000110;12;Macapá;AP;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1600303;SKY/AT&T;Rádio;523;499;2263;2210;2051;1977
00497373000110;12;Macapá;AP;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Jurídica;INTERNET;1600303;SKY/AT&T;Rádio;;;1;1;1;1
00497373000110;12;Oiapoque;AP;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1600501;SKY/AT&T;Rádio;1;1;1;;;
00497373000110;12;Porto Grande;AP;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1600535;SKY/AT&T;Rádio;;;1;;;
00497373000110;12;Santana;AP;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1600600;SKY/AT&T;Rádio;90;88;615;594;560;543
00497373000110;12;Figueirópolis;TO;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1707652;SKY/AT&T;Rádio;1;1;;;;
00497373000110;12;Palmas;TO;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;1721000;SKY/AT&T;Rádio;1;1;;;;
00497373000110;12;Açailândia;MA;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;2100055;SKY/AT&T;Rádio;1;1;1;;;
00497373000110;12;Anajatuba;MA;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;2100709;SKY/AT&T;Rádio;1;1;1;;;
00497373000110;12;Apicum-Açu;MA;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;2100832;SKY/AT&T;Rádio;;;1;;;
00497373000110;12;Bacuri;MA;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;2101301;SKY/AT&T;Rádio;;;1;;;
00497373000110;12;Bom Jardim;MA;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;2102002;SKY/AT&T;Rádio;;;1;;;
00497373000110;12;Cantanhede;MA;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;2102705;SKY/AT&T;Rádio;;;1;;;
00497373000110;12;Central do Maranhão;MA;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;2103125;SKY/AT&T;Rádio;1;1;1;;;
00497373000110;12;Davinópolis;GO;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;5206909;SKY/AT&T;Rádio;;;1;;1;1
00497373000110;12;Guimarães;MA;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;2104909;SKY/AT&T;Rádio;;;1;;;
00497373000110;12;Olinda Nova do Maranhão;MA;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;2107456;SKY/AT&T;Rádio;1;1;1;;;
00497373000110;12;Paço do Lumiar;MA;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;2107506;SKY/AT&T;Rádio;370;349;1856;1765;1640;1547
00497373000110;12;Presidente Juscelino;MA;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;2109205;SKY/AT&T;Rádio;;;1;;;
00497373000110;12;Rosário;MA;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;2109601;SKY/AT&T;Rádio;1;1;1;;;
00497373000110;12;Santa Luzia;MG;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;3157807;SKY/AT&T;Rádio;589;557;1114;1033;973;904
00497373000110;12;Santa Luzia;MG;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Jurídica;INTERNET;3157807;SKY/AT&T;Rádio;2;2;2;2;1;1
00497373000110;12;Santa Rita;PB;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;2513703;SKY/AT&T;Rádio;30;1;3;;;
00497373000110;12;São Benedito do Rio Preto;MA;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;2110401;SKY/AT&T;Rádio;1;1;1;;;
00497373000110;12;São José de Ribamar;MA;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;2111201;SKY/AT&T;Rádio;562;534;2798;2630;2462;2353
00497373000110;12;São José de Ribamar;MA;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Jurídica;INTERNET;2111201;SKY/AT&T;Rádio;;;1;1;1;1
00497373000110;12;São Luís;MA;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;2111300;SKY/AT&T;Rádio;1736;1670;6304;6080;5803;5566
00497373000110;12;São Luís;MA;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Jurídica;INTERNET;2111300;SKY/AT&T;Rádio;1;1;9;9;8;18
00497373000110;12;São Pedro dos Crentes;MA;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;2111573;SKY/AT&T;Rádio;;;1;;;
00497373000110;12;Timon;MA;2Mbps a 12Mbps;LTE;SKY/AT&T;Grande Porte;Pessoa Física;INTERNET;2112209;SKY/AT&T;Rádio;115;108;352;329;;
