CNPJ;Velocidade;Município;UF;Faixa de Velocidade;Tecnologia;Empresa;Porte da Prestadora;Tipo de Pessoa;Tipo de Produto;Código IBGE Município;Grupo Econômico;Meio de Acesso;2023-01;2023-02;2023-03;2023-04;2023-05;2023-06
7,65358E+13;100;Cariacica;ES;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3201308;OI;Fibra;904;911;922;925;947;962
7,65358E+13;100;Nova Venécia;ES;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3203908;OI;Fibra;155;152;154;155;155;155
7,65358E+13;100;São Gabriel da Palha;ES;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3204708;OI;Fibra;135;137;140;141;145;146
7,65358E+13;100;Serra;ES;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3205002;OI;Fibra;689;686;692;692;710;717
7,65358E+13;100;Vila Velha;ES;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3205200;OI;Fibra;562;573;582;591;612;608
7,65358E+13;100;Vitória;ES;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3205309;OI;Fibra;724;733;754;751;749;769
7,65358E+13;100;Angra dos Reis;RJ;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3300100;OI;Fibra;971;948;928;922;912;913
7,65358E+13;100;Araruama;RJ;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3300209;OI;Fibra;355;355;354;355;356;359
7,65358E+13;100;Armação dos Búzios;RJ;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3300233;OI;Fibra;276;269;268;264;260;257
7,65358E+13;100;Barra do Piraí;RJ;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3300308;OI;Fibra;1000;1005;998;991;1001;1006
7,65358E+13;100;Barra Mansa;RJ;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3300407;OI;Fibra;290;287;284;281;284;289
7,65358E+13;100;Belford Roxo;RJ;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3300456;OI;Fibra;1446;1427;1416;1408;1403;1397
7,65358E+13;100;Cabo Frio;RJ;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3300704;OI;Fibra;912;898;883;880;878;889
7,65358E+13;100;Campos dos Goytacazes;RJ;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3301009;OI;Fibra;822;796;778;762;743;723
7,65358E+13;100;Casimiro de Abreu;RJ;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3301306;OI;Fibra;83;84;85;86;87;88
7,65358E+13;100;Duque de Caxias;RJ;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3301702;OI;Fibra;2784;2741;2702;2664;2654;2637
7,65358E+13;100;Itaguaí;RJ;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3302007;OI;Fibra;728;710;697;686;683;675
7,65358E+13;100;Mangaratiba;RJ;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3302601;OI;Fibra;5;6;6;6;7;8
7,65358E+13;100;Maricá;RJ;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3302700;OI;Fibra;293;299;306;309;307;306
7,65358E+13;100;Nilópolis;RJ;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3303203;OI;Fibra;2387;2353;2329;2302;2275;2267
7,65358E+13;100;Niterói;RJ;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3303302;OI;Fibra;2599;2587;2567;2542;2535;2512
7,65358E+13;100;Nova Friburgo;RJ;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3303401;OI;Fibra;655;656;656;656;659;649
7,65358E+13;100;Nova Iguaçu;RJ;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3303500;OI;Fibra;1872;1861;1838;1830;1848;1836
7,65358E+13;100;Paracambi;RJ;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3303609;OI;Fibra;275;279;278;276;270;268
7,65358E+13;100;Petrópolis;RJ;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3303906;OI;Fibra;3940;3914;3887;3863;3844;3813
7,65358E+13;100;Petrópolis;RJ;> 34Mbps;ADSL2;OI;Grande Porte;Pessoa Física;INTERNET;3303906;OI;Fibra;1;1;1;1;1;1
7,65358E+13;100;Pinheiral;RJ;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3303955;OI;Fibra;59;66;73;80;81;83
7,65358E+13;100;Piraí;RJ;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3304003;OI;Fibra;1;1;1;1;1;1
7,65358E+13;100;Queimados;RJ;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3304144;OI;Fibra;916;912;908;909;904;909
7,65358E+13;100;Resende;RJ;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3304201;OI;Fibra;77;90;107;120;125;138
7,65358E+13;100;Rio de Janeiro;RJ;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3304557;OI;Fibra;17014;16948;16917;16875;16914;16829
7,65358E+13;100;São Gonçalo;RJ;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3304904;OI;Fibra;1044;1028;1009;1002;990;992
7,65358E+13;100;São João de Meriti;RJ;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3305109;OI;Fibra;3269;3222;3178;3140;3110;3109
7,65358E+13;100;São Pedro da Aldeia;RJ;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3305208;OI;Fibra;158;159;159;159;161;159
7,65358E+13;100;Saquarema;RJ;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3305505;OI;Fibra;16;21;22;23;25;26
7,65358E+13;100;Saquarema;RJ;> 34Mbps;ADSL2;OI;Grande Porte;Pessoa Física;INTERNET;3305505;OI;Fibra;2;2;2;2;2;2
7,65358E+13;100;Tanguá;RJ;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3305752;OI;Fibra;1;1;1;1;1;1
7,65358E+13;100;Teresópolis;RJ;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3305802;OI;Fibra;819;800;792;781;781;775
7,65358E+13;100;Volta Redonda;RJ;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3306305;OI;Fibra;2212;2197;2205;2194;2221;2232
7,65358E+13;100;Campinas;SP;> 34Mbps;FTTH;OI;Grande Porte;Pessoa Física;INTERNET;3509502;OI;Fibra;3;3;6;6;11;11
